Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
270,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,1545,89,6,17.45571689,0.00020489
332,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,1452,100,7,14.57840819,0.000349947
606,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1151,136,12,8.461742647,0.00173239
252,Neu5Aca2-3Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8,279,46,17,6.015138253,0.004603587
251,Neu5Aca2-3Galb1-4(6S)GlcNAcb-Sp8,250,48,19,5.205132436,0.006890513
601,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp14,248,11,4,23.57024598,8.37E-05
271,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,226,30,13,7.620529221,0.002345294
605,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,176,13,7,13.99214557,0.000395238
597,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3GalNAca-Sp14,159,62,39,2.569157251,0.041276798
481,Neu5Aca2-6Galb1-4 GlcNAcb1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3)GalNAca-Sp14,87,15,17,5.879279848,0.004908965
502,Neu5Aca2-6GalNAcb1-4(6S)GlcNAcb-Sp8,77,10,12,8.085849135,0.001976301
267,Neu5Aca2-6Galb1-4(6S)GlcNAcb-Sp8,77,44,57,1.759656478,0.088348425
393,GalNAca1-3(Fuca1-2)Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,76,18,24,4.193266706,0.012368467
