Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
332,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,1208,28,2,42.58614478,1.42E-05
393,GalNAca1-3(Fuca1-2)Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,200,9,4,22.41042837,9.73E-05
252,Neu5Aca2-3Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8,554,33,6,17.03745164,0.000220225
270,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,385,33,9,11.60388492,0.000687289
605,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,222,20,9,11.16769478,0.000769403
606,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,741,89,12,8.368602398,0.001788942
251,Neu5Aca2-3Galb1-4(6S)GlcNAcb-Sp8,133,16,12,8.200081193,0.001897624
271,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,294,43,15,6.880872118,0.003143665
602,Neu5Aca2-6Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp14,85,15,17,5.765159032,0.005186317
601,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp14,133,29,22,4.542245825,0.009990855
267,Neu5Aca2-6Galb1-4(6S)GlcNAcb-Sp8,81,26,33,3.065383212,0.027380337
269,Neu5Aca2-6Galb1-4GlcNAcb-Sp8,66,21,32,3.143581874,0.025760233
597,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3GalNAca-Sp14,184,109,59,1.689131004,0.094888235
502,Neu5Aca2-6GalNAcb1-4(6S)GlcNAcb-Sp8,59,26,44,2.283138186,0.053313455
481,Neu5Aca2-6Galb1-4 GlcNAcb1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3)GalNAca-Sp14,40,14,35,2.861229955,0.032255951
395,Gala1-3Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-6(Gala1-3Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp19,47,24,52,1.926220694,0.07486019
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,35,19,55,1.802848558,0.08459836
237,Neu5Aca2-3GalNAcb1-4GlcNAcb-Sp0,27,14,52,1.905591005,0.076393828
325,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,30,26,89,1.118110303,0.172493405
445,Fuca1-2Galb1-4 GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4GlcNAcb1-2(Fuca1-2Galb1-4GlcNAcb1-4)Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,26,9,36,2.771171196,0.034750255
482,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,25,7,30,3.374512476,0.021633151
11,Neu5Acb-Sp8,28,28,98,1.016930073,0.19203039
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,26,16,62,1.605555173,0.103359836
275,Neu5Aca2-8Neu5Aca-Sp8,25,13,54,1.847851353,0.080884864
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,23,14,63,1.589648613,0.105066677
559,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2)Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Mana1-4GlcNAcb1-4GlcNAc-Sp24,22,11,51,1.965246571,0.072056432
478,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana-Sp0,22,10,48,2.084293414,0.064237333
536,GalNAca1-3(Fuca1-2)Galb1-3GalNAcb1-3Gala1-4Galb1-4Glc-Sp21,22,15,67,1.491895968,0.116269073
538,Galb1-3GalNAcb1-3Gal-Sp21,21,15,72,1.384053182,0.130167304
457,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-6(GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,21,11,52,1.917516855,0.075502815
360,Fuca1-2Galb1-3GlcNAcb1-2Mana1-6(Fuca1-2Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,20,11,54,1.84151004,0.081396541
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,20,10,48,2.083335273,0.064296126
83,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,20,1,7,14.63073992,0.000346247
574,GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,20,3,17,5.96915344,0.004704086
98,GalNAcb1-4GlcNAcb-Sp0,19,9,47,2.122915938,0.061919782
370,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-6(GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,19,7,37,2.688568574,0.037252306
431,GlcNAcb1-2Mana1-6(GlcNAcb1-4)(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,19,26,136,0.732666213,0.258408243
127,Galb1-3GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,19,7,37,2.685643523,0.037344935
280,Neu5Gca2-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,19,13,70,1.436564148,0.123187459
598,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3GalNAca-Sp14,18,9,49,2.043867047,0.066774467
354,Galb1-3GlcNAcb1-2Mana1-6(Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,18,18,101,0.989995377,0.197579913
577,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,18,7,42,2.392480148,0.048262744
14,Manb-Sp8,18,9,49,2.035029993,0.067344794
76,Fuca1-2Galb1-4GlcNAcb-Sp8,18,15,87,1.155860506,0.165716485
253,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,17,14,82,1.223173904,0.154290852
542,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,17,13,73,1.364867267,0.132822439
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",17,10,59,1.698399666,0.093998057
319,Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,17,7,42,2.388035625,0.048456394
459,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,17,5,32,3.079039864,0.027088342
362,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAb-Sp20,17,12,73,1.373122334,0.131672998
268,Neu5Aca2-6Galb1-4GlcNAcb-Sp0,17,4,22,4.637259789,0.009448026
206,KDNa2-3Galb1-4GlcNAcb-Sp0,17,5,30,3.34460118,0.022117943
238,Neu5Aca2-3Galb1-3(6S)GlcNAc-Sp8,17,6,34,2.948534314,0.030047757
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,17,5,33,3.048697645,0.027742489
123,Gala1-4GlcNAcb-Sp8,17,7,43,2.322636188,0.051418167
45,(6S)Galb1-4(6S)Glcb-Sp8,16,13,80,1.246006208,0.150600785
330,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-3GlcNAcb-Sp0,16,12,72,1.389692016,0.129397786
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,16,8,52,1.933508554,0.074327028
596,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,16,10,65,1.530741023,0.111666599
1,Gala-Sp8,16,1,9,11.13725361,0.00077561
